"Name","DisplayName","Status","StartType","Time"
"AarSvc_9ed9e","Agent Activation Runtime_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"ALG","Application Layer Gateway Service","Stopped","Manual","12-Sun-2024 10:43"
"AppIDSvc","Application Identity","Running","Manual","12-Sun-2024 10:43"
"Appinfo","Application Information","Running","Manual","12-Sun-2024 10:43"
"AppMgmt","Application Management","Stopped","Manual","12-Sun-2024 10:43"
"AppReadiness","App Readiness","Stopped","Manual","12-Sun-2024 10:43"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","12-Sun-2024 10:43"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","12-Sun-2024 10:43"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","12-Sun-2024 10:43"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual","12-Sun-2024 10:43"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic","12-Sun-2024 10:43"
"Audiosrv","Windows Audio","Running","Automatic","12-Sun-2024 10:43"
"autotimesvc","Cellular Time","Stopped","Manual","12-Sun-2024 10:43"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","12-Sun-2024 10:43"
"BcastDVRUserService_9ed9e","GameDVR and Broadcast User Service_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","12-Sun-2024 10:43"
"BEService","BattlEye Service","Stopped","Manual","12-Sun-2024 10:43"
"BFE","Base Filtering Engine","Running","Automatic","12-Sun-2024 10:43"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","12-Sun-2024 10:43"
"BluetoothUserService_9ed9e","Bluetooth User Support Service_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"brave","Brave Update Service (brave)","Stopped","Automatic","12-Sun-2024 10:43"
"BraveElevationService","Brave Elevation Service (BraveElevationService)","Stopped","Manual","12-Sun-2024 10:43"
"bravem","Brave Update Service (bravem)","Stopped","Manual","12-Sun-2024 10:43"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","12-Sun-2024 10:43"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","12-Sun-2024 10:43"
"BthAvctpSvc","AVCTP service","Stopped","Manual","12-Sun-2024 10:43"
"bthserv","Bluetooth Support Service","Running","Manual","12-Sun-2024 10:43"
